Number,Age,Gender,Nationality,Program,Course,English,Academic,Attendance
1,31-35,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S0
2,26-30,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S3
3,26-30,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S0
4,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
5,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S1
6,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
7,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
8,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
9,21-25,M,Malaysia,MD,Data Science ,60%~70%,40%~49%,S0
10,21-25,M,Malaysia,MD,Data Science ,60%~70%,>70%,S0
11,21-25,M,China,MD,Data Science ,60%~70%,>70%,S1
12,21-25,M,China,MD,Data Science ,60%~70%,50%~59%,S1
13,21-25,M,China,MD,Data Science ,60%~70%,60%~70%,S3
14,21-25,M,India,MD,Data Science ,60%~70%,60%~70%,S2
15,21-25,M,Saudi Arabia,MD,Data Science ,>70%,60%~70%,S1
16,21-25,M,China,MD,Data Science ,>70%,>70%,S1
17,>36,M,Korea,MD,Data Science ,>70%,60%~70%,S0
18,21-25,M,Saudi Arabia,MD,Data Science ,>70%,60%~70%,S0
19,21-25,M,Tanzania,MD,Data Science ,60%~70%,60%~70%,S0
20,21-25,M,China,MD,Data Science ,60%~70%,60%~70%,S0
21,21-25,M,Oman,MD,Data Science ,60%~70%,>70%,S4
22,21-25,M,Jordan,MD,Data Science ,60%~70%,60%~70%,S0
23,21-25,M,Malaysia,MD,Data Science ,60%~70%,>70%,S0
24,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
25,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S3
26,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
27,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S2
28,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S3
29,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S1
30,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S2
31,>36,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S2
32,21-25,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S0
33,21-25,M,Malaysia,MD,Data Science ,50%~59%,60%~70%,S0
34,21-25,M,Malaysia,MD,Data Science ,50%~59%,60%~70%,S0
35,21-25,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S1
36,21-25,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S0
37,21-25,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S0
38,21-25,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S0
39,21-25,M,Malaysia,MD,Data Science ,50%~59%,60%~70%,S1
40,21-25,M,Malaysia,MD,Data Science ,50%~59%,60%~70%,S2
41,26-30,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S2
42,26-30,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S2
43,31-35,M,Malaysia,MD,Data Science ,50%~59%,50%~59%,S2
44,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S2
45,21-25,M,Malaysia,MD,Data Science ,40%~49%,40%~49%,S3
46,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S0
47,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S2
48,21-25,M,China,MD,Data Science ,60%~70%,60%~70%,S0
49,21-25,M,China,MD,Data Science ,50%~59%,40%~49%,S3
50,26-30,M,China,MD,Data Science ,60%~70%,40%~49%,S0
51,21-25,M,China,MD,Data Science ,60%~70%,50%~59%,S0
52,21-25,M,China,MD,Data Science ,50%~59%,<40%,S3
53,21-25,M,China,MD,Data Science ,50%~59%,50%~59%,S1
54,26-30,M,China,MD,Data Science ,60%~70%,50%~59%,S1
55,21-25,M,China,MD,Data Science ,50%~59%,60%~70%,S1
56,31-35,M,China,MD,Data Science ,50%~59%,50%~59%,S0
57,21-25,F,China,MD,Data Science ,60%~70%,50%~59%,S0
58,21-25,F,Vietnam,MD,Data Science ,60%~70%,60%~70%,S0
59,21-25,F,China,MD,Data Science ,50%~59%,50%~59%,S0
60,21-25,F,Malaysia,MD,Data Science ,>70%,>70%,S1
61,21-25,F,Singapore,MD,Data Science ,60%~70%,60%~70%,S0
62,21-25,F,Singapore,MD,Data Science ,60%~70%,50%~59%,S0
63,21-25,F,Singapore,MD,Data Science ,60%~70%,50%~59%,S0
64,26-30,F,Singapore,MD,Data Science ,50%~59%,50%~59%,S0
65,26-30,F,China,MD,Data Science ,60%~70%,60%~70%,S0
66,26-30,F,China,MD,Data Science ,>70%,60%~70%,S0
67,21-25,F,Qatar,MD,Data Science ,60%~70%,60%~70%,S1
68,21-25,F,Oman,MD,Data Science ,>70%,60%~70%,S0
69,21-25,F,Malaysia,MD,Data Science ,60%~70%,60%~70%,S1
70,26-30,F,Malaysia,MD,Data Science ,50%~59%,>70%,S1
71,>36,F,Malaysia,MD,Data Science ,50%~59%,40%~49%,S1
72,21-25,F,Malaysia,MD,Data Science ,60%~70%,60%~70%,S1
73,21-25,F,Malaysia,MD,Data Science ,40%~49%,40%~49%,S1
74,21-25,F,Malaysia,MD,Data Science ,60%~70%,60%~70%,S1
75,21-25,F,Malaysia,MD,Data Science ,,>70%,S0
76,21-25,F,Malaysia,MD,Data Science ,>70%,60%~70%,S0
77,21-25,F,Malaysia,MD,Data Science ,50%~59%,40%~49%,S1
78,21-25,F,Malaysia,MD,Data Science ,<40%,<40%,S4
79,21-25,F,Malaysia,MD,Data Science ,>70%,50%~59%,S2
80,21-25,F,Malaysia,MD,Data Science ,60%~70%,60%~70%,S1
81,21-25,F,Malaysia,MD,Data Science ,60%~70%,>70%,S0
82,21-25,F,Malaysia,MD,Data Science ,60%~70%,40%~49%,S3
83,26-30,F,Indonesia,MD,Data Science ,60%~70%,60%~70%,S0
84,26-30,F,Indonesia,MD,Data Science ,>70%,>70%,S0
85,26-30,F,Indonesia,MD,Data Science ,>70%,>70%,S0
86,26-30,F,China,MD,Data Science ,50%~59%,60%~70%,S0
87,26-30,F,Qatar,MD,Data Science ,60%~70%,60%~70%,S0
88,26-30,F,Thailand,MD,Data Science ,60%~70%,60%~70%,S0
89,26-30,F,China,MD,Data Science ,60%~70%,60%~70%,S1
90,26-30,F,Indonesia,MD,Data Science ,>70%,60%~70%,S0
91,21-25,F,Korea,MD,Data Science ,60%~70%,60%~70%,S0
92,21-25,F,China,MD,Data Science ,50%~59%,50%~59%,S1
93,21-25,F,China,MD,Data Science ,50%~59%,50%~59%,S1
94,21-25,F,Indonesia,MD,Data Science ,60%~70%,50%~59%,S0
95,21-25,F,China,MD,Data Science ,50%~59%,60%~70%,S2
96,21-25,F,China,MD,Data Science ,50%~59%,50%~59%,S1
97,21-25,F,Korea,MD,Data Science ,60%~70%,40%~49%,S0
98,21-25,F,China,MD,Data Science ,60%~70%,60%~70%,S0
99,21-25,F,China,MD,Data Science ,50%~59%,50%~59%,S0
100,21-25,F,China,MD,Data Science ,60%~70%,40%~49%,S0
101,21-25,F,China,MD,Data Science ,>70%,60%~70%,S4
102,21-25,F,Indonesia,MD,Data Science ,>70%,>70%,S2
103,21-25,F,China,MD,Data Science ,50%~59%,50%~59%,S1
104,21-25,F,China,MD,Data Science ,50%~59%,60%~70%,S0
105,21-25,F,China,MD,Data Science ,50%~59%,50%~59%,S0
106,21-25,F,China,MD,Data Science ,60%~70%,60%~70%,S0
107,21-25,F,China,MD,Data Science ,60%~70%,60%~70%,S0
108,21-25,F,China,MD,Data Science ,60%~70%,50%~59%,S0
109,21-25,F,China,MD,Data Science ,40%~49%,40%~49%,S0
110,21-25,F,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
111,21-25,F,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
112,31-35,F,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
113,>36,F,Malaysia,MD,Data Science ,60%~70%,40%~49%,S3
114,21-25,F,Malaysia,MD,Data Science ,50%~59%,60%~70%,S0
115,26-30,F,Malaysia,MD,Data Science ,50%~59%,50%~59%,S0
116,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S1
117,21-25,M,Malaysia,MD,Data Science ,60%~70%,60%~70%,S0
118,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S0
119,21-25,F,Malaysia,MD,Data Science ,50%~59%,60%~70%,S0
120,21-25,M,Malaysia,MD,Data Science ,50%~59%,40%~49%,S3
121,21-25,M,Malaysia,MD,Data Science ,60%~70%,50%~59%,S1
122,31-35,F,Indonesia,MD,Data Science ,50%~59%,50%~59%,S1
123,26-30,M,Indonesia,MD,Data Science ,>70%,60%~70%,S0
124,21-25,F,Indonesia,MD,Data Science ,60%~70%,60%~70%,S1
125,26-30,F,Indonesia,MD,Data Science ,60%~70%,>70%,S0
